"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","hidden_size","learning_rate","num_epochs","num_layers","Training loss (average)","val_loss"
"legendary-sweep-79","5vuqxwpc","legendary-sweep-79","finished","-","lgblkb","","2020-05-06T17:27:46.000Z","134","50gn5vbb","20000","98","0.011794897541836429","43","3","0.0021652464638464153","0.002106688218191266"
"elated-sweep-58","4hmza4jc","elated-sweep-58","finished","-","lgblkb","","2020-05-06T16:53:32.000Z","148","50gn5vbb","20000","100","0.01157064848903376","44","4","0.002149733889382333","0.002121477387845516"
"dashing-sweep-68","2c46u4cx","dashing-sweep-68","finished","-","lgblkb","","2020-05-06T17:10:09.000Z","142","50gn5vbb","20000","117","0.007789253642725591","47","5","0.0020704799972008914","0.002133785281330347"
"solar-sweep-67","vn1vfqsn","solar-sweep-67","finished","-","lgblkb","","2020-05-06T17:08:14.000Z","109","50gn5vbb","20000","112","0.017001617589758454","35","6","0.00215051622944884","0.0021422558929771185"
"leafy-sweep-37","yci1cbz6","leafy-sweep-37","finished","-","lgblkb","","2020-05-06T16:21:14.000Z","125","50gn5vbb","20000","124","0.00945589844928548","41","10","0.002181369432946667","0.0021454128436744213"
"serene-sweep-33","dz498fnb","serene-sweep-33","finished","-","lgblkb","","2020-05-06T16:14:22.000Z","114","50gn5vbb","20000","151","0.01152020811695026","36","9","0.0021819478715769947","0.0021486550103873014"
"tough-sweep-39","xepyyciq","tough-sweep-39","finished","-","lgblkb","","2020-05-06T16:24:18.000Z","116","50gn5vbb","20000","170","0.013733702104095566","37","9","0.002213379426393658","0.002152791013941169"
"fancy-sweep-30","1yehsc9b","fancy-sweep-30","finished","-","lgblkb","","2020-05-06T16:08:13.000Z","118","50gn5vbb","20000","145","0.00910300134972892","37","10","0.0021792643528897315","0.0021704325918108225"
"leafy-sweep-77","b0knhbh6","leafy-sweep-77","finished","-","lgblkb","","2020-05-06T17:24:01.000Z","121","50gn5vbb","20000","108","0.01265396475399534","38","4","0.0022089573030825704","0.002179808681830764"
"solar-sweep-76","az1xwdw0","solar-sweep-76","finished","-","lgblkb","","2020-05-06T17:22:17.000Z","99","50gn5vbb","20000","115","0.015323632026613332","30","5","0.0022144480608403683","0.002198728965595365"
"unique-sweep-63","c3qfnf6i","unique-sweep-63","finished","-","lgblkb","","2020-05-06T17:01:15.000Z","126","50gn5vbb","20000","121","0.015280686587566565","40","6","0.0021885287133045495","0.0021995154675096273"
"tough-sweep-64","vdrpiogg","tough-sweep-64","finished","-","lgblkb","","2020-05-06T17:03:31.000Z","112","50gn5vbb","20000","111","0.013394027800116878","35","7","0.002201130089815706","0.0022157991770654917"
"solar-sweep-31","xmzicvhj","solar-sweep-31","finished","-","lgblkb","","2020-05-06T16:10:19.000Z","126","50gn5vbb","20000","135","0.017506093646352704","41","10","0.0022033336281310767","0.0022402750328183174"
"flowing-sweep-74","f831smwh","flowing-sweep-74","finished","-","lgblkb","","2020-05-06T17:19:15.000Z","124","50gn5vbb","20000","129","0.01622964340714195","40","4","0.0022152020828798413","0.0022410135716199875"
"dark-sweep-50","ht8if1ap","dark-sweep-50","finished","-","lgblkb","","2020-05-06T16:42:20.000Z","82","50gn5vbb","20000","133","0.015072589288969658","25","10","0.0023891520977485925","0.002260122448205948"
"helpful-sweep-65","qjg921k0","helpful-sweep-65","finished","-","lgblkb","","2020-05-06T17:05:32.000Z","102","50gn5vbb","20000","127","0.014419908081108334","31","10","0.002208481775596738","0.002269276650622487"
"rural-sweep-35","2w1u3d72","rural-sweep-35","finished","-","lgblkb","","2020-05-06T16:18:29.000Z","136","50gn5vbb","20000","122","0.014463280740680469","44","10","0.0023524290591012686","0.002288490068167448"
"denim-sweep-41","pncd6pt0","denim-sweep-41","finished","-","lgblkb","","2020-05-06T16:27:51.000Z","119","50gn5vbb","20000","120","0.016085320932233985","39","10","0.002184394601499662","0.002297913422808051"
"dazzling-sweep-53","a1cumthi","dazzling-sweep-53","finished","-","lgblkb","","2020-05-06T16:46:04.000Z","115","50gn5vbb","20000","160","0.013325949601119724","37","9","0.0022343093587551266","0.0023114157374948263"
"fast-sweep-52","5kvs7w6a","fast-sweep-52","finished","-","lgblkb","","2020-05-06T16:44:18.000Z","98","50gn5vbb","20000","107","0.01618419559874871","30","6","0.0022532063885591924","0.002348010428249836"
"fiery-sweep-19","2sa9z3wc","fiery-sweep-19","finished","-","lgblkb","","2020-05-06T15:54:10.000Z","81","50gn5vbb","20000","147","0.015362631019353376","25","9","0.0024422233982477337","0.0024707757402211428"
"classic-sweep-25","xkr27in6","classic-sweep-25","finished","-","lgblkb","","2020-05-06T16:02:55.000Z","105","50gn5vbb","20000","107","0.015679742823228652","34","7","0.0025040936016011983","0.002481406554579735"
"logical-sweep-61","2jh3r4rc","logical-sweep-61","finished","-","lgblkb","","2020-05-06T16:57:58.000Z","108","50gn5vbb","20000","115","0.020708903319861544","35","7","0.0028018038428854197","0.002525563118979335"
